ID_CLIENT,ID_SHOP,SEX,MARITAL_STATUS,AGE,FLAG_RESIDENCIAL_PHONE,AREA_CODE_RESIDENCIAL_PHONE,PAYMENT_DAY,SHOP_RANK,RESIDENCE_TYPE,MONTHS_IN_RESIDENCE,FLAG_MOTHERS_NAME,FLAG_FATHERS_NAME,FLAG_RESIDENCE_TOWN_eq_WORKING_TOWN,FLAG_RESIDENCE_STATE_eq_WORKING_STATE,MONTHS_IN_THE_JOB,PROFESSION_CODE,MATE_INCOME,FLAG_RESIDENCIAL_ADDRESS_eq_POSTAL_ADDRESS,FLAG_OTHER_CARD,QUANT_BANKING_ACCOUNTS,FLAG_MOBILE_PHONE,FLAG_CONTACT_PHONE,PERSONAL_NET_INCOME,COD_APPLICATION_BOOTH,QUANT_ADDITIONAL_CARDS_IN_THE_APPLICATION,FLAG_CARD_INSURANCE_OPTION,TARGET_LABEL_BAD=1,
1,22,F,O,44,N,31,12,0,P,12,Y,Y,N,Y,48,731,0,Y,N,0,N,N,300,0,0,N,0,
2,15,F,S,18,Y,31,20,0,P,216,Y,Y,Y,Y,12,853,0,Y,N,0,N,N,300,0,0,N,0,
3,24,F,C,22,Y,31,8,0,P,48,Y,N,Y,Y,12,40,0,Y,N,0,N,N,229,0,0,N,0,
4,12,F,C,47,N,31,25,0,P,180,Y,Y,N,Y,24,35,0,Y,N,0,N,N,304,0,0,N,0,
5,16,F,S,28,Y,31,25,0,O,12,Y,Y,Y,Y,12,24,0,Y,N,0,N,N,250,0,0,N,0,
6,24,M,S,26,N,31,28,0,P,180,Y,Y,N,Y,0,999,0,Y,N,0,N,N,800,0,0,N,0,
7,55,F,S,22,Y,31,12,0,A,0,Y,Y,Y,Y,48,999,0,Y,N,0,N,N,410,0,0,N,0,
8,6,F,C,21,Y,23,28,0,A,24,Y,Y,Y,Y,12,40,800,Y,N,0,N,N,248,0,0,N,0,
9,3,F,S,27,Y,31,20,0,A,0,Y,Y,Y,Y,0,950,0,Y,N,0,N,N,1000,0,0,N,1,
10,23,F,C,57,Y,31,12,0,P,24,Y,Y,N,Y,96,13,0,Y,N,0,N,N,856,0,0,N,0,
11,25,F,S,53,Y,31,18,0,P,60,Y,Y,N,Y,24,13,0,Y,N,0,N,N,738,0,1,N,1,
12,12,F,C,32,Y,31,12,0,P,24,Y,Y,N,Y,0,165,0,Y,N,0,N,N,700,0,0,N,0,
13,7,M,S,21,Y,1,3,0,P,180,Y,Y,N,N,24,514,0,N,N,0,N,N,347,0,0,N,0,
14,24,M,C,36,Y,31,12,0,P,120,Y,Y,Y,Y,36,15,0,Y,N,0,N,N,1987,0,1,N,0,
15,7,M,S,26,Y,27,1,0,P,240,Y,Y,N,Y,12,26,0,Y,N,0,N,N,1000,0,0,N,0,
16,19,F,S,49,N,50,20,0,P,120,Y,Y,N,Y,0,703,0,Y,N,0,N,N,225,0,0,N,0,
17,96,F,S,18,Y,31,20,0,P,216,Y,Y,Y,Y,96,60,0,Y,N,0,N,N,145,0,0,N,0,
18,55,M,O,44,Y,31,8,0,P,72,Y,Y,Y,Y,12,135,0,Y,N,0,N,N,370,0,0,N,0,
19,55,F,V,46,N,50,12,0,P,360,Y,Y,N,Y,120,704,0,Y,N,0,N,N,520,0,0,N,0,
20,24,M,S,20,Y,31,28,0,P,24,Y,Y,Y,Y,12,999,0,Y,N,0,N,N,500,0,0,N,1,
21,9,M,C,26,Y,5,18,0,C,264,Y,Y,N,Y,36,79,0,Y,N,0,N,N,490,0,0,N,1,
22,1,M,C,17,N,50,12,0,A,12,Y,Y,N,Y,12,38,0,Y,N,0,N,N,426,0,0,N,1,
23,19,F,C,20,Y,31,28,0,P,120,Y,Y,N,Y,0,999,0,Y,N,0,N,N,500,0,0,N,0,
24,21,F,S,46,Y,31,8,0,A,48,Y,Y,Y,Y,192,999,0,Y,N,0,N,N,3100,0,0,N,0,
25,25,F,C,41,Y,50,8,0,P,12,Y,Y,Y,Y,120,34,0,Y,N,0,N,N,1175,0,0,N,0,
26,12,M,S,20,Y,50,12,0,P,12,Y,Y,Y,Y,24,39,0,Y,N,0,N,N,285,0,0,N,1,
27,20,F,D,64,Y,50,3,0,A,12,Y,Y,Y,Y,60,72,0,Y,N,0,N,N,700,0,1,N,1,
28,15,F,D,71,Y,31,18,0,A,96,Y,Y,N,Y,12,13,0,Y,N,0,N,N,180,0,0,N,0,
29,14,F,S,33,Y,31,12,0,P,396,Y,Y,Y,Y,48,26,0,Y,N,0,N,N,260,0,0,N,0,
30,1,F,S,46,Y,31,8,0,P,72,Y,Y,N,Y,12,801,0,Y,N,0,N,N,442,0,0,N,0,
31,12,M,C,24,N,31,20,0,P,240,Y,Y,Y,Y,12,30,0,Y,N,0,N,N,313,0,0,N,0,
32,12,F,S,23,N,31,18,0,P,276,Y,Y,Y,Y,0,999,0,Y,N,0,N,N,280,0,0,N,1,
33,6,F,C,36,N,50,8,0,P,240,Y,Y,N,Y,12,713,0,Y,N,0,N,N,250,0,0,N,0,
34,3,F,S,40,Y,31,28,0,P,24,Y,Y,Y,Y,0,305,0,Y,N,0,N,N,1000,0,0,N,0,
