v_categories,proportion
fiction,0.14336122208941862
education,0.09020909424240837
history,0.08493769077290109
no information,0.07622344655501641
mental health,0.06711872800605712
religion,0.06192827653201651
science and technology,0.05581401993323842
art,0.04043790267665392
economy and politics,0.03209032337941248
biography,0.029423669411098044
autobiography,0.029209384717215632
entertainment,0.02494750024999881
sports,0.02222846557873534
children and young people,0.018866576825824637
home and gardening,0.01868562530654616
travels,0.014276122494654788
drama and novels,0.011776134399360002
health,0.010542806939014576
music,0.010214237075061547
spirit,0.009633287460535902
poetry,0.006976157256394017
young adult fiction,0.0027952247846438827
study aids,0.0022380845805496166
animals,0.0010047571202041895
african americans,0.0008523768934433646
american poetry,0.0006761872562511607
american fiction,0.0006190446712158514
indians of north america,0.0005523783220079904
electronic books,0.0005523783220079904
adventure stories,0.0005333307936628873
conduct of life,0.0005238070294903358
cats,0.0004999976190589568
frontier and pioneer life,0.0004714263265413022
comic books strips etc,0.0004714263265413022
large type books,0.00045237879819619905
libraries,0.00043333126985109597
dogs,0.0003857124489883382
railroads,0.00036666492064323504
jews,0.00036190303855695923
brothers and sisters,0.0003476173922981319
automobiles,0.0003333317460393046
fairy tales,0.000323807981866753
chess,0.00030476045352164987
actors,0.0002999985714353741
agriculture,0.0002999985714353741
presidents,0.00029523668934909836
communism,0.00029523668934909836
birds,0.00029047480726282254
australia,0.0002761891610039952
cooking american,0.00027142727891771946
encyclopedias and dictionaries,0.00026666539683144365
crime,0.00026666539683144365
folklore,0.0002571416326588921
aeronautics,0.0002571416326588921
dungeons and dragons game,0.0002571416326588921
christmas stories,0.0002523797505726163
adventure and adventurers,0.0002523797505726163
american wit and humor pictorial,0.00024285598640006476
child rearing,0.00024285598640006476
motion picture actors and actresses,0.00023809410431378897
horses,0.00022857034014123743
authorship,0.0002095228117961343
generals,0.0002095228117961343
bears,0.0002095228117961343
readers,0.0002095228117961343
mormon church,0.00020476092970985854
occultism,0.00019999904762358275
audiotapes,0.00019999904762358275
alaska,0.00019999904762358275
american drama,0.00019999904762358275
baptists,0.00019523716553730697
meditation,0.00019523716553730697
firearms,0.00019523716553730697
airplanes,0.0001857134013647554
fantasy,0.0001857134013647554
children s poetry,0.0001857134013647554
man woman relationships,0.0001857134013647554
apologetics,0.00018095151927847961
children s libraries,0.00018095151927847961
boys,0.00017618963719220386
government publications,0.00017618963719220386
murder,0.00017618963719220386
fiction in english,0.00017618963719220386
rock musicians,0.00017142775510592807
curiosities and wonders,0.00017142775510592807
chicago ill,0.0001666658730196523
british,0.0001666658730196523
gay men,0.0001666658730196523
automobile racing,0.0001619039909333765
vietnam war 1961 1975,0.0001619039909333765
christmas,0.00015714210884710072
ethnology,0.00015238022676082494
literature,0.00015238022676082494
popular literature,0.00014761834467454918
success,0.00014761834467454918
fishing,0.00014761834467454918
self actualization psychology,0.00014761834467454918
florida,0.0001428564625882734
children s stories american,0.0001380945805019976
best books,0.0001380945805019976
