Palabra Original,Palabra Más Similar,Distancia de Levenshtein,proportion Palabra Original,proportion Palabra Más Similar
comics,coins,2,0.005542830748425007,7.619011338041247e-05
twins,coins,2,1.428564625882734e-05,7.619011338041247e-05
icons,coins,2,4.761882086275779e-06,7.619011338041247e-05
graphic novels,gothic novels,3,0.00565235403640935,1.428564625882734e-05
biography,geography,2,0.029423669411098044,9.523764172551559e-05
demography,geography,2,4.761882086275779e-06,9.523764172551559e-05
autobiography,autobiographies,3,0.029209384717215632,1.9047528345103117e-05
religion,religions,1,0.0439997904771882,5.238070294903357e-05
belgians,religions,3,4.761882086275779e-06,5.238070294903357e-05
fiction,diction,1,0.10798520007047585,4.761882086275779e-06
dictionary,diction,3,4.761882086275779e-06,4.761882086275779e-06
no information,disinformation,3,0.07214727548916433,4.761882086275779e-06
social science,social sciences,1,0.01795229546525969,7.14282312941367e-05
juvenile nonfiction,juvenile fiction,3,0.016266589206718064,0.030842710272808226
technology,ethnology,2,0.007885676734872692,0.00015238022676082494
entomology,ethnology,3,1.428564625882734e-05,0.00015238022676082494
ethnologie,ethnology,2,4.761882086275779e-06,0.00015238022676082494
engineering,engineers,3,0.007933295555735449,2.3809410431378898e-05
engravers,engineers,3,4.761882086275779e-06,2.3809410431378898e-05
engines,engineers,2,4.761882086275779e-06,2.3809410431378898e-05
history,mystery,3,0.0433331269851096,2.3809410431378898e-05
law,play,2,0.004204741882181513,4.761882086275779e-06
d day,play,3,4.761882086275779e-06,4.761882086275779e-06
clay,play,1,4.761882086275779e-06,4.761882086275779e-06
playboy,play,3,4.761882086275779e-06,4.761882086275779e-06
health,death,2,0.009757096394779072,0.00013333269841572183
wreaths,death,3,9.523764172551558e-06,0.00013333269841572183
debt,death,2,1.428564625882734e-05,0.00013333269841572183
fitness,fairness,2,0.009619001814277075,4.761882086275779e-06
cooking,cloning,2,0.011580897233822695,9.523764172551558e-06
zoning,cloning,2,4.761882086275779e-06,9.523764172551558e-06
clowning,cloning,1,4.761882086275779e-06,9.523764172551558e-06
philosophy,philosophers,3,0.008523768934433646,9.047575963923981e-05
europe,entropy,3,0.0003761886848157866,9.523764172551558e-06
sports,exports,2,0.010733282222465607,9.523764172551558e-06
recreation,creation,2,0.01068566340160285,2.857129251765468e-05
creationism,creation,3,1.428564625882734e-05,2.857129251765468e-05
body mind,body life,3,0.009628525578449626,4.761882086275779e-06
body size,body life,2,9.523764172551558e-06,4.761882086275779e-06
spirit,sports,3,0.009633287460535902,0.010733282222465607
airports,sports,3,1.9047528345103117e-05,0.010733282222465607
secrets,sports,3,4.761882086275779e-06,0.010733282222465607
exports,sports,2,9.523764172551558e-06,0.010733282222465607
swords,sports,2,1.428564625882734e-05,0.010733282222465607
spoons,sports,2,4.761882086275779e-06,0.010733282222465607
torts,sports,2,4.761882086275779e-06,0.010733282222465607
psychology,mythology,3,0.008909481383421984,6.190446712158514e-05
new thought,free thought,3,9.999952381179138e-05,1.9047528345103117e-05
crafts,cats,2,0.006390445759782096,0.00047618820862757794
caste,cats,2,4.761882086275779e-06,0.00047618820862757794
cake,cats,2,1.428564625882734e-05,0.00047618820862757794
hats,cats,1,1.428564625882734e-05,0.00047618820862757794
clans,cats,2,2.3809410431378898e-05,0.00047618820862757794
cactus,cats,2,9.523764172551558e-06,0.00047618820862757794
bats,cats,1,1.428564625882734e-05,0.00047618820862757794
rats,cats,1,4.761882086275779e-06,0.00047618820862757794
coats,cats,1,4.761882086275779e-06,0.00047618820862757794
hobbies,horses,3,0.006395207641868372,0.00022857034014123743
heroes,horses,2,8.571387755296404e-05,0.00022857034014123743
porches,horses,3,4.761882086275779e-06,0.00022857034014123743
nurses,horses,2,2.857129251765468e-05,0.00022857034014123743
chores,horses,2,1.428564625882734e-05,0.00022857034014123743
mosses,horses,2,4.761882086275779e-06,0.00022857034014123743
roses,horses,2,9.523764172551558e-06,0.00022857034014123743
juvenile fiction,juvenile nonfiction,3,0.030842710272808226,0.016266589206718064
medical,medicaid,2,0.009857095918590865,4.761882086275779e-06
architecture,architects,3,0.004514264217789439,0.00011428517007061872
art,arts,1,0.00968090628139866,8.571387755296404e-05
arabs,arts,2,2.3809410431378898e-05,8.571387755296404e-05
arcgis,arts,3,4.761882086275779e-06,8.571387755296404e-05
family,families,3,0.010404712358512579,0.00038095056690206237
fairies,families,2,6.190446712158514e-05,0.00038095056690206237
lilies,families,3,4.761882086275779e-06,0.00038095056690206237
famines,families,2,1.428564625882734e-05,0.00038095056690206237
females,families,3,9.523764172551558e-06,0.00038095056690206237
daylilies,families,3,4.761882086275779e-06,0.00038095056690206237
merchant marine,merchant mariners,2,4.285693877648202e-05,4.761882086275779e-06
spiritualism,spirituality,2,3.8095056690206234e-05,1.9047528345103117e-05
america,americans,2,0.00023333222222751321,0.00023333222222751321
samaritans,americans,3,4.761882086275779e-06,0.00023333222222751321
americanisms,americans,3,6.666634920786091e-05,0.00023333222222751321
americana,americans,1,1.9047528345103117e-05,0.00023333222222751321
beer cans,americans,3,4.761882086275779e-06,0.00023333222222751321
africans,americans,2,9.523764172551558e-06,0.00023333222222751321
gardening,marketing,3,0.002490464331122233,9.999952381179138e-05
meditations,meditation,1,8.571387755296404e-05,0.00010476140589806715
temptation,meditation,3,4.761882086275779e-06,0.00010476140589806715
mediation,meditation,1,4.761882086275779e-06,0.00010476140589806715
games,names,1,0.004680930090809091,4.761882086275779e-06
