artist_id,latitude,longitude,artist,location
ARHQ0OK1187B9988E5,27.796409999999998,-97.40356,Louise Mandrell,"Corpus Christi, TX"
AR4CB0C1187B99247E,34.500440000000005,-82.64958,Kip Anderson,"Anderson, SC"
ARAGJTD1187B9A8646,40.65507,-73.94888,P-Money / Akon,"Brooklyn, NY"
ARBWFER11C8A42BA94,37.77916,-122.42005,The Weegs,California - SF
ARO5ZS41187FB5C40D,35.21553,-99.86665,Sheb Wooley,"Erick, OK"
AR9LWZ21187FB39088,37.4876,139.83829,Ces,JAPAN
AR0RCKZ1187FB52EA2,31.1689,-100.07715,Marc Benno,Texas
ART7G5U1187FB5B6EA,36.42677,-77.59765,Jimmy Soul,"Weldon, NC"
ARE5YA81187FB5B9D8,59.91228,10.74998,Dylan Mondegreen,Oslo
ARXYAPV1187FB3B5F3,52.883559999999996,-1.97406,Picture Frame Seduction,UK - England - South East
ARVNK831187FB48831,37.271879999999996,-119.27023,Shakedown,California
ARPKYNL1187FB3A948,35.02393,-87.58111,Melba Montgomery,"Iron City, TN"
ARCAUGA1187B9A469D,49.38426,-84.75627,Expo feat. J. Eliot Robinson,CANADA - Ontario
ARAWH5O1187B9892A4,38.99792,-105.55096,PCP,Colorado
AR1ERJ41187FB43238,41.88415,-87.63241,Gil Scott-Heron,"Chicago, IL"
AR6T7R51187FB47746,38.50205,-117.02258,The Reunion,Nevada
AR35WRT1187B99C2C1,64.55653000000001,12.66538,Electrocutango,NORWAY
AR1F3W51187B9A5E30,40.143229999999996,-74.72671,Rhoda Scott,New Jersey
AR3EO5L1187FB48A59,56.27609,9.51695,Kind Of Girl,DENMARK
ARY5WKO1187B99834A,41.44556,-74.42248000000001,My Bitter End,"Middletown, NY"
AR65I1B1187FB4664E,40.71455,-74.00712,John Zorn,"New York, NY"
ARVPEEY1187FB3EAED,33.75854,-88.1089,Dan Penn & Donnie Frits,"Vernon, AL"
ARM0RY81187B9AF248,34.053490000000004,-118.24531999999999,Jerry Goldsmith,"Los Angeles, CA"
ARLTX751187B9A1828,33.52029,-86.8115,Frederick Knight,"Birmingham, AL"
ARJIK1C1187B9B4B3A,40.71455,-74.00712,George Cables,"New York, NY"
AR2S5AS1187B9B587C,40.71455,-74.00712,Steven Tyler,"Boston, MA"
ARM0T7V1187B990B00,37.4876,139.83829,Sunship Feat. Charlise,JAPAN
ARWWLOR1187B9A8DBF,51.16418,10.45415,Settle The Score,GERMANY
ART7FUO1187B9AB483,44.04981,20.91079,Aca Lukas,Serbia
AR6TZJQ1187B9AD572,45.60718,4.062119999999999,Loriod Yvonne_Ensemble Intercontemporain_Olivier Messiaen_Pierre Boulez,"Montbrison, France"
ARNZRG71187FB42DCD,50.07908,14.43322,Ecstasy Of St. Theresa,"Prague, Czech Republic"
ARYE82I1187B9A43A6,61.49781,23.76226,My Fate,Tampere
ARR209R1187B9B48CC,64.95014,26.06739,Kemopetrol,Finland
ARSMTLN11F4C840798,51.50632,-0.12714,The Buzzcocks,London / Ex-Manchester
ARIINL31187FB46159,48.13641,11.57752,4 Lyn,Munich Germany
ARALEAC1187B9902A8,51.898340000000005,-8.47277,Rubyhorse,"Cork City, Ireland"
ARLGZ1U119B3403C2B,37.16793,-95.84501999999999,Nifty,US
AR14CJ91187FB3A994,35.52069,-84.36354,Eddy Arnold,"Madisonville, TN"
ARMRCET1187FB52049,33.993629999999996,-117.97091999999999,Fergie / Soulja Boy Tell`em,"Hacienda Heights, CA"
AR35AU21187FB44256,49.38426,-84.75627,Readymade,CANADA - Ontario
ARI9X461187B9931A2,62.19845,17.55142,Mattias Alkberg,SWEDEN
ARTKMTZ1187FB3F80F,40.71455,-74.00712,Patent Pending,NY - Long Island
ARCB34Q1187B98F80B,-24.9162,133.39311,Gwyn Ashton,AUSTRALIA
AR7MCVK1187FB53CB1,37.4876,139.83829,Kagerou,JP
AR6I2F91187FB59C4C,53.4796,-2.2488099999999998,Paul Wright,Manchester
AR3TZAS1187B99F8D8,40.190329999999996,-82.66946999999999,The Machine,Ohio
AR3ZGUC1187FB57721,27.57452,78.30813,Ali Farka Touré_ Toumani Diabaté,Kanau
AR21FR81187B9AC2AF,44.38303,-77.97913,Three Days Grace,"Norwood, Ontario, Canada"
ARIWN3F1187FB3E37E,34.053490000000004,-118.24531999999999,Sugafree featuring Sharon,"Los Angeles, CA"
ARJWB0K1187FB4D6ED,-36.55865,145.469,Xavier Rudd,"Victoria, Australia"
AR8WSBG1187B9A69F0,38.150009999999995,-79.07271999999999,Things To Come,"Staunton, Va"
AR4YK8N1187FB3EB8B,40.71455,-74.00712,Flash,NY - New York City
ARY9TWX1187B992E2A,32.71568,-117.16171999999999,MIKE KENEALLY & BEER 4 DOLPHINS,"San Diego, CA"
AR4JPOE1187FB412B3,29.95369,-90.07771,Etta Jones,"New Orleans, LA"
ARL4F9C1187FB46639,46.71067,1.71819,Youssoupha,France
AR4IPQ01187FB36C75,51.50632,-0.12714,my robot friend,London
ARUT16P1187FB532A4,33.39847,-91.03786,Tyrone Davis,"Greenville, MS"
ARVFCVA1187B992D8A,52.51606999999999,13.37698,Fuckpony,"Berlin, Germany"
ARBLLWC1187B993740,40.731970000000004,-74.17418,Aly-Us,"Newark, NJ"
ARRQNRY1187B99FB30,30.33138,-81.6558,Start Trouble,"Jacksonville, FL"
ARMA4H21187B9A5F4E,53.343759999999996,-6.24953,Hothouse Flowers,"Dublin, Ireland"
ARMM25Z1187FB5A8C1,29.424490000000002,-98.49462,Jessy Dixon,"San Antonio, TX"
ARS42YB1187B9B0C56,40.65507,-73.94888,The Cloud Room,"Brooklyn, NY"
ARX41WT1187B98DC52,40.71455,-74.00712,Garrison,NY - Upstate NY
ARGNVQK11F4C841022,32.67828,-83.22295,Jessica King,Georgia
ARKWZ6U1187B9A3D92,30.9742,-91.52382,Hi-C / Big Steele / Drop / Young Dre / Mr. Kane,Louisiana
ARIQUX51187FB42548,34.053490000000004,-118.24531999999999,Chad Wackerman,California - LA
ARIVN7F1187FB5CCCA,42.33168,-83.04791999999999,Detroit Grand Pubahs featuring Dynamix II,"Detroit, MI"
ARX3XRG1187FB5247E,40.143229999999996,-74.72671,Osanna,New Jersey USA
ARK8Q3X1187B9AEAF0,62.19845,17.55142,Sahara Hotnights,Sweden
AR0GHWE1187FB4A31B,51.50632,-0.12714,Eruption,"London, England"
AR4J4T21187FB54932,34.011559999999996,-118.49229,Stephen Malkmus,"Santa Monica, CA"
ARLMODD1187B989E2F,16.85576,-69.46854,Cymande,West Indies
ARMXFNX1187FB470F0,41.88415,-87.63241,Liliana Herrero,Chicago Illinois USA
ARLRRUM1187B9AEE65,29.424490000000002,-98.49462,Tune Wranglers,"San Antonio, TX"
ARGIABO1187FB4B3B5,35.32689,-83.80489,Ronnie Milsap,"Robbinsville, NC"
ARV8WE01187FB4D356,64.95014,26.06739,Northern Kings,FI
ARPVCLJ1187B9AC403,33.83276,-117.91572,No Doubt,"Anaheim, CA"
ARWQY4P1187FB406FE,27.9758,-81.54106,Jenna Drey,Florida
ARX2R5A1187FB5B85B,33.74831,-84.39111,Ann Nesby,"Joliet, IL &amp; Atlanta, GA"
ARVKHFG1187B9B0485,-34.60852,-58.373540000000006,Mauricio Kagel,"Buenos Aires, Argentina"
ARMOC7C1187FB559BD,33.67889,-118.00157,Divine Styler,"HUNTINGTON BEACH, California"
ARJHNU21187B98E15C,40.71455,-74.00712,Jana Kirschner,New York New York USA
AR54QRH1187B98E87B,43.32113,-76.41484,Mark Murphy,"Fulton, NY"
AR6QMID1187FB53957,52.883559999999996,-1.97406,Caravan,England
AR2GIJS1187FB3FAC6,40.7038,-73.83168,Marley Marl,"Queens, NY"
ARB59YI1187FB492AF,40.65507,-73.94888,The Crystals,"Brooklyn, NY"
AR6ZS6M1187FB57A03,40.71455,-74.00712,The Drifters,"New York, NY"
ARVVFGM11EBCD78E2C,39.89502,-2.98868,Bad Way,Spain
AR958JT1187B9B9863,47.603559999999995,-122.32943999999999,Rosie Thomas,"Seattle, WA"
AR8ZLX91187FB3CB73,41.88415,-87.63241,Marshall Jefferson,Chicago
AR1GT0N1187FB3B510,52.94922,-1.14392,The IV Thieves,"Nottingham, England"
ARHUPM21187B9A0EEF,34.053490000000004,-118.24531999999999,Hamilton Camp,California - LA
AR9PX5U1187B997E64,-23.56287,-46.65466,Jerry Adriani,"Sao Paulo, Brazil"
ARVKPRK119B866920B,27.9758,-81.54106,From The Ashes,Florida
AR59BQE1187FB3CBE0,34.053490000000004,-118.24531999999999,The Platters,"Los Angeles, CA"
ARRL2QH1187B9AC814,47.25513,-122.44165,Bing Crosby,"Tacoma, WA"
AR39K4T1187FB5C312,41.88415,-87.63241,90 Day Men,"Chicago, IL"
AR89WMN119B866955B,40.4203,-3.70577,Esco,Madrid - Berlino - Padova - Venezia
AREEFI51187B99131A,40.143229999999996,-74.72671,Adagio,New Jersey
ARWCIEL1187FB42EF5,39.29055,-76.6096,Beach House,B-More
ARFKYG51187FB4CE41,44.646159999999995,-63.573919999999994,April Wine,"Halifax, Nova Scotia, Canada"
ARP4PRT1187B9952AE,37.77916,-122.42005,Tramaine Hawkins,"San Francisco, CA"
ARZSHNF1187B9AF72E,40.71455,-74.00712,Nightmare Of You,"New York, NY"
ARA58Y01187FB4566A,39.96196,-83.00298000000001,Jerry Douglas,California - LA
AROTGU11187B9B78AA,40.143229999999996,-74.72671,Marianne Nowottny,New Jersey
ARWJZ0Q1187B999872,51.27172,-0.39535,Javier,Surrey United Kingdom
AR4LTZA1187B996753,40.8079,-73.9454,Black Ivory,"New York, NY [Harlem]"
ARYHDKU1187FB3F796,39.95227,-75.16237,Blue Magic,"Philadelphia, PA"
ARCZD9J1187FB3BC5B,-24.9162,133.39311,Darren Hanlon,Australia
AR6Y8JF1187B9BA1D5,33.92192,-93.14939,Jimmy Witherspoon,"Gurdon, AR"
ARXL8H31187B998B48,27.9758,-81.54106,Xero,Florida
ARUIRXF1187FB45BC6,31.1689,-100.07715,JK,Texas
ARMM7T01187B9B31E0,37.271879999999996,-119.27023,Frank Caliendo,California
AR44U7H1187FB40F85,38.546659999999996,-121.74476999999999,Thin White Rope,"Davis, CA"
ARIMDUI11F4C8432E8,27.9758,-81.54106,Various Productions,Florida
ARTYXXJ11C8A42198F,56.65286,-3.9966699999999995,Moishe's Bagel,UK - Scotland
ARZUWUC1187FB54557,38.8991,-77.029,Silk,Washington DC
ARE6S0I1187B98CC5E,45.7594,4.82897,Blackness,"Lyon, France"
AR1STU51187FB50050,58.97083000000001,5.73079,Thomas Dybdahl,"Stavanger, Norway"
ARXZTKV11F4C83CA1E,36.84682,-76.28506999999999,Jackiem Joyner,"Norfolk, Virginia"
AR8LHBN1187FB378AF,40.71455,-74.00712,Carole Bayer Sager,"New York, NY"
ARKBDDL1187B99189E,-24.9162,133.39311,Richard Clapton,Australia
ARBKIL81187FB3B809,43.04181,-87.90684,Jerry Harrison,"Milwaukee, WI"
ARKYA2I1187B9AD926,53.553340000000006,9.99245,Running Wild,"Hamburg, Germany"
ARJ5BH81187B9B22D0,44.7272,-90.10126,Zig Zag,Wisconsin
ARYT62X1187FB5962F,44.04992,-123.08854,Govi,"EUGENE, US"
ARCD3ST1187FB3D9F3,33.52029,-86.8115,Jimmy Murphy,"Birmingham, AL"
ARV4MQQ1187FB515A3,39.95227,-75.16237,Schoolly D,"Philadelphia, PA"
AR6OPWR1187B99E17E,31.1689,-100.07715,Venture,Texas
ARQ83WH1187FB53E32,40.71455,-74.00712,Joe Bushkin,"New York, NY"
AR3Z9SK1187B9928E0,41.504709999999996,-81.69074,Dazz Band,"Cleveland, OH"
AR0JEOI1187B98B918,31.1689,-100.07715,Erik Berglund,Texas
ARSL5SP1187B9A7AE0,34.053490000000004,-118.24531999999999,N.W.A.,"Compton, California, USA."
AR96FXP1187B99FA3C,42.18419,-71.71818,Cheb Balowski,California - LA
ARO7J2Y1187FB3FC3A,33.36501,-92.72564,Sleepy LaBeef,"Smackover, AR"
AREUT471187FB47D1D,19.48498,-99.18169,Newworldaquarium,020
ARCO1G01187FB3D671,42.33168,-83.04791999999999,Milt Jackson,"Detroit, MI"
ARLC4981187B9938F1,52.1082,5.32986,Rat Patrol,Netherlands
ARRBFU01187FB5B44F,38.2589,-92.43659,Leandra,Missouri
ARXMEDY1187FB4808A,40.71455,-74.00712,Mateo & Matos Ft. Dirty Turk,"New York, NY"
ARYC4561187FB4F2B1,54.314069999999994,-2.23001,Chatelaine,United Kingdom
AR1VWD91187FB4CE99,54.977909999999994,-1.61237,The Animals,Newcastle
ARKU2GK1187B98C8AB,40.71455,-74.00712,The Jason Bonham Band,NY - New York City
ARNYWB31187B99753B,3.15257,101.7173,Estrella,"Kuala Lumpur, Malaysia"
ARZCK1I1187FB5B4DD,52.825990000000004,-1.32654,Pressure,UK - England - East Midlands
ARILTQO12086C14BB2,-36.55865,145.469,Pawn and Sonic D,AUSTRALIA - Victoria
ARETUYZ11F4C83EE50,32.36419,-89.47541,"Arthur ""Big Boy"" Crudup","Forest, MS"
ARMHQZE1187B99A822,39.9275,-75.03055,Toby Lightman,"Cherry Hill, New Jersey"
ARXJQQK122C86779B9,54.313919999999996,-2.23218,In Riot,Great Britain / UK
ARVIMM01187FB494A0,56.27609,9.51695,Luca,DENMARK
AR34BO71187B9AD988,36.16778,-86.77835999999999,The Grascals,"Nashville, TN"
ARTVBNL1187FB52DF3,-14.242920000000002,-54.38783000000001,Grupo Batuque,Brazil
ARI52LW1187FB4150A,40.71455,-74.00712,Nile Rodgers / Roy Hargrove / Money Mark,"New York, NY"
ARDHKZ11187B9B4371,38.8991,-77.029,Faraquet,"Washington, DC"
ARWXUGS11E2835D16B,38.00335,-79.77127,Carla,Virginia
ARDOXBI1187FB4486D,40.143229999999996,-74.72671,Someday Never,New Jersey
ARD4LQ61187FB470F1,33.53584,-92.82984,Little Willie John,"Cullendale, AR"
ARODYKE11F4C8450FC,22.43562,83.77616,Scheme,Doncater
ARY6EBA1187B9AD525,41.36149,-74.27362,Bill Perry,"Chester, NY"
ARV83621187B9BA3ED,40.190329999999996,-82.66946999999999,State Of Being,Ohio
ARD7U0O1187FB5531A,49.34463,2.40955,André Verchuren,Neuilly-sous-Clermont (Oise)
ARH996B1187FB50545,53.86121,-2.5648299999999997,Johnny Clegg,"Rochdale, Lancashire, England"
ARLF1C31187B9AC1A6,52.94922,-1.14392,Tindersticks,"Nottingham, England"
ARV7KUA1187B9940D0,52.478590000000004,-1.9086,Surgeon,"Birmingham, England"
ARWE41Y119B3402DF1,37.77916,-122.42005,Spencer Day,California - SF
AR9S1FS1187B9A0B74,51.50632,-0.12714,The Gatlin Brothers,"London, England"
AR3K9DS1187FB52E20,40.71455,-74.00712,Attractive,NY - Upstate NY
AR0DA0R1187B9A5FB6,40.71455,-74.00712,Oriental Funk,NY - New York City
ARSUUAE1187FB501CF,52.20987,0.11155999999999999,Animals on Wheels,"Cambridge, England"
ARK0I601187FB361D9,39.05988,-86.61724,Junior Brown,"Kirksville, IN"
ARDJEU31187B990053,28.53823,-81.37739,Group 1 Crew,"Orlando, FL"
ARQCSP31187B9A17ED,51.50632,-0.12714,Us3,"London, England"
ARR575U1187B98FB97,38.8235,-75.92381,The Perrys,Maryland
AR222D111C8A41554D,44.115590000000005,-120.51483999999999,Roedelius / Lunz,Oregon
ARNZCNT1187B98DAD8,34.053490000000004,-118.24531999999999,Pablo Francisco,California - LA
AROM7PU1187B9B7CD5,46.44231,-93.36586,Nixon,Minnesota
ARZHPFP1187B993954,39.10644,-84.50469,Mel Carter,"Cincinnati, OH"
ARMD4N91187B99A2A8,-33.86963,151.20695,The Church,"Sydney, Australia"
ARS8RCC1187FB42554,41.82387,-71.41199,Carol Sloane,"Providence, RI"
ARVKANB1187FB4AC78,34.053490000000004,-118.24531999999999,Switchblade Kittens,California - LA
ARW3V6T1187B9ACAC4,48.390229999999995,-4.486219999999999,Miossec,"Brest, France"
AR5LQAT1187B9B1326,40.8399,14.25185,Nuova Compagnia Di Canto Popolare,"Naples, Italy"
ARQSQGF1187B9A79F5,53.45495,-3.0059400000000003,Billy J. Kramer,"Bootle, England"
ARGLTDV1187B99FA2A,39.95227,-75.16237,Billy Paul,"Philadelphia, PA"
AR67UCD1187B9B1585,40.71455,-74.00712,The Besties,NY - New York City
AR7TXAD1187FB4CA66,42.33168,-83.04791999999999,Destroy All Monsters,Lion City
ARCVVPA11F4C843F2F,37.77916,-122.42005,Caroline Dahl,California - SF
ARBZ1751187FB4D641,51.50632,-0.12714,The Auteurs,"London, England"
ARA7FJT1187B9B98F6,33.74831,-84.39111,El Pus,"Atlanta, GA"
ARPV73U1187FB48203,26.650370000000002,-98.35131,Puya,Puerto Rico US
AR0IVTL1187B9AD520,34.053490000000004,-118.24531999999999,Katy Perry,"Los Angeles, CA"
ARD2F1Z1187FB3D27E,18.11526,-77.27348,Carlton Livingston,"St, Mary, Jamaica"
ARY4S0J1187B98F4D6,34.053490000000004,-118.24531999999999,The Morgans,California - LA
AR62PZ51187B991406,41.88415,-87.63241,Charles Wilson,"Chicago, IL"
ARYBIE21187FB457CB,40.71455,-74.00712,Lunic,NY - New York City
ARIZL891187B9B9226,33.98291,-96.98612,Johnny Bond,"Enville, OK"
ARAAP251187B99DDE0,10.73445,-71.63056,Guaco,"Maracaibo, VE"
ARZJ4SS1187B99A138,38.8991,-77.029,Stars Hide Fire,"Washington, DC"
ARGOLWM1187B98CEDE,43.7427,-84.62167,Commissioned,Michigan
ARD3MK31187B99E0B6,55.95415,-3.20277,Tommy Smith,"Edinburgh, Scotland"
ARPBOYM11E8A2E23FC,34.053490000000004,-118.24531999999999,Eggshell Egoz,California - LA
ARMF24B1187FB48048,-0.66262,14.92741,Bisso Na Bisso,Congo Brazzaville
ARAJI0Y1187B98FFA7,42.31256,-71.08868000000001,The Saddest Landscape,"Boston, MA"
ARK9L321187B9B5481,34.14632,-118.24802,Go Betty Go,"Glendale, CA"
ARWPVI31187FB3AF83,52.454190000000004,-2.14783,The Wonder Stuff,"Stourbridge, England"
ARIH5GU1187FB4C958,38.8991,-77.029,Silverchair,Washington DC
AR07HH61187FB464DD,34.011559999999996,-118.49229,Daedelus,"Santa Monica, CA"
AR8NDUI1187B996322,35.21962,-80.01955,Benjamin,North Carolina
ARCWEOH12454A47A23,37.77916,-122.42005,Paul Kantner/Jefferson Starship,"San Francisco, CA"
ARKE18S1187FB55403,34.16788,-111.9307,Intrinzik,Arizona
AR5OM571187FB52F3E,52.883559999999996,-1.97406,Guitar Shorty,"Beirut, Lebanon"
ARTAQDS1187B988E82,40.143229999999996,-74.72671,Chris and Mike,New Jersey
AR5BFN41187B9A5B33,49.38426,-84.75627,JAW feat. Hollywood Hank,CANADA - Ontario
ARV51CH1187FB4CF9F,51.50632,-0.12714,MJ Hibbett & the Validators,UK - England - London
AREOGMA1187B9908EF,37.77916,-122.42005,Hot Tuna,"San Francisco, CA"
ARKGCFR1241B9CE502,51.16418,10.45415,Arilyn,GERMANY
ARCUKQ11187B9A9AC9,36.34253,-85.29014000000001,Lester Flatt / Earl Scruggs / The Foggy Mountain Boys,"Overton County, TN"
AR9UCT71187B994468,39.76618,-86.44105,Hooligan,Indiana
AREIETJ12086C1202E,33.74831,-84.39111,Yung La,"Atlanta, Georgia"
ARU1D2V1187B98CA24,46.44231,-93.36586,Organ,Minnesota
ARLIN7B1187FB48801,27.9758,-81.54106,Beverly Crawford,Florida
AR0IHC91187B9B1347,40.71455,-74.00712,Murray Perahia,"New York, NY"
ARUUMRV1187FB4D2BC,45.46894,9.18103,Benny Benassi vs. Iggy Pop,"Milan,Italy"
ARSSVXM11EBCD79C44,40.71455,-74.00712,Sanchia,New York
ARTJCX01187B9A865B,37.33847,-121.88578999999999,Linus Project,"San Jose, CA"
ARIFGKC1187B9B04D5,34.053490000000004,-118.24531999999999,Dean Martin,"Los Angeles, CA"
ARHO8RH1187B99212C,37.271879999999996,-119.27023,See Spot Run,California
ARIB6ZB1187FB3BEDD,50.44138,30.52249,Misha Mengelberg,"Kiev, Ukraine"
ARM96XF1187B9A1643,41.98086,2.81874,Kiko Veneno,"Gerona, Spain"
AR2AGLK1187B9AAAD0,34.053490000000004,-118.24531999999999,Year Long Disaster,"Los Angeles, CA"
AR421FM1187B997AF4,55.8578,-4.24251,The Badloves,"Glasgow, Scotland"
AR1L2NA119B86684B4,48.85692,2.34121,Dr. Hook & The Medicine Show,Paris
ARZRWOF1187B9963A3,30.2676,-97.74298,Nautilis,"Austin, TEXAS"
ARBAG3U1187B9A9E08,33.626459999999994,-80.9474,Jack the Ripper,South Carolina
ARWAJKN1187FB362A1,34.053490000000004,-118.24531999999999,Nate Dogg,"Los Angeles, CA"
ARYQTED1187B9B63D6,52.51606999999999,13.37698,Sascha Funke,"Berlin, Germany"
ARE8BFH1187B9B2D72,40.190329999999996,-82.66946999999999,Descent,Ohio
AR1AEWG11C8A4156AD,51.394290000000005,-0.11175,Frankmusik,"Thornton Heath, London"
AREACYD1187FB566DE,55.0503,-8.23194,Enya,"Gweedore, Donegal, Ireland"
ARRJCRF1187B994FB1,50.24665,19.00424,Franz Waxman,K�sh�Upper Silesia
ARNNQ9E1187FB3C82F,28.53823,-81.37739,Sizzla,"Orlando, FL"
ARNEYYB11F50C4B2ED,39.95227,-75.16237,Practically Single,"Philadelphia, PA"
ARHA3KO1187B99D51F,23.62574,-101.95625,Barricada,MX
ARVZY7M1187FB3AF41,47.25513,-122.44165,Omnibus Media - Karaoke Tracks,"Tacoma, WA"
AR584781187FB3BAE8,40.143229999999996,-74.72671,40 Below Summer,New Jersey
AR4UL0A1187FB36895,55.75686999999999,37.6151,Regina Spektor,"Moscow, Russia"
AR86IIE1187FB40BE5,52.883559999999996,-1.97406,The Rubettes,England
ARGTPKB1187FB3E9F7,25.06634,121.53188999999999,Jota Quest,104
ARJIASJ1187FB50B41,42.503820000000005,12.57347,Aim,ITALY
AR5MAKX1187FB4D071,55.8578,-4.24251,Aereogramme,"Glasgow, Scotland"
ARJVTRE1187B9959C0,40.71455,-74.00712,Foghat,"London, England"
ARHQCAG1187B9ACFF1,49.26044,-123.11403,Frontline Assembly,"Vancouver, British Columbia, Cana"
ARM891J1187B991327,39.766909999999996,-86.14996,Wes Montgomery Trio,"Indianapolis, IN"
ARFTLBX1187B9A4475,-35.705220000000004,-71.34109000000001,Tiro De Gracia,Chile
