artist_id,mbtag
ARA124F1187B9AF492,pop and chart
ARNXHP01187FB585FE,dubstep
AR4T3B21187B99D5AF,downtempo
AR2A6UJ1187FB4BF5C,british
ARV4BQB1187B98C2B2,england
AR3TG3X1187FB4D577,berlin
ARN9TZ21187B9A7CFC,rock
ARA7WV51187FB532B0,punk
ARDT2Z31187FB3CEAC,indian
ARCHUCU1187B9A53A7,uk
AROCD4V1187FB486D3,electronic
ARK5A0W1187FB3D83D,punk
ARTFAG31187FB3FC8F,folk
ARJZOEE11F4C83C864,british
ARUP4RZ1187B9A4DEF,electronic
ARDIHQP1187FB3A7BA,folk
ARJVTD81187FB51621,trip rock
AR9W3X91187FB3994C,uk
ARAFCPW1187B9A33D8,classic pop and rock
ARI2L661187FB465AE,rock and indie
AR6ITTI1187FB5BC63,heavy metal
ARGQHYN1187FB3AEE1,dollis hill
ARMSW7X1187FB5B504,los angeles
AROOMY61187B9A743C,hip hop rnb and dance hall
ARFIU2R1187B9927F9,american
AR1ABAO1187FB531E1,heavy metal
ARP7ILI1187B9AE9F7,alternative rock
AR7QOOZ1187B98E1BE,rock
ARJW66R1187FB3C9B3,multi-instrumentalist
ARGSXDC1187FB3EFC4,sweden
ARWJEOP1187B996538,smooth jazz
ARGJ1ZL1187FB3FC38,easy listening soundtracks and musicals
AR5DL0Z1187B98F52F,british
AR9H9DL1187B9B9691,english
ARZ479N1187B98ADD2,australian
ARZQ1KI1187FB4E578,français
AR3NJNQ1187FB3BF84,post-industrial
AR5IE7V1187FB402C2,vgm
ARRDCP51187FB4E9F6,electro-industrial
ARRUMDY1187B9ACDFA,french
AR60ODO1187FB4D9AB,rock
ARZSDGU1187FB5C31E,rock
ARMCYSE1187FB5ACD3,american
ARSL3N21187B98DFC5,composer
ARJIAK51187B9B0C57,british
AR2UTLV1187FB59C94,british
ARSMG8X1187B99CA99,mestizo
ARICL5J1187B995EBD,uk
ARC5EHQ1187FB4834F,contemporary jazz
ARHLLBK11EBCD7C3BB,parolier
ARRHVAD1187FB3BC2D,ambient
ARE3PRA1187FB39AB7,country
ARJQA8U1187B99ECF5,australian
AR212SC1187FB4A4F9,rock n roll
ARECDS21187FB4F67E,belgrade
AR1KGL11187B9A962C,finnish
ARHV9SI1187B988BC6,hip hop
ARPC1IG1187B9B2875,rock
AR7CKHE1187B99ADFE,german
AREYJKQ1187B9AEAB5,alternative rock
ARWR05M1187B9951A2,rock
ARW76OX1187B993DB2,british
ARGOO641187B9AFC79,soul
ARVL4NX1187B998181,jazz and blues
ARLVFAB1187FB44BCC,folk
ARC7YBY1187FB50FC9,dance
AROQAHU11E2835CD6D,jazz and blues
ARPQJ561187FB5CEEE,german
AR4T3B21187B99D5AF,chillout
AR6BNBY1187B998232,hard rock
ARKRFIL1187FB41922,ambient
AR6O7DD1187B989B72,spanish
